DCS,VC,Desc1,Attr,Size,Item#,OHQty,OHExtP$,SoldQty,SoldExtP$,SoldM%,Str
APPSHIW,BROOKS,TOP D'LITE REV RCBK,545,S,261,2,79.98,0,0,0,AAW
APPSHIW,BROOKS,TOP D'LITE REV RCBK,545,M,262,2,79.98,0,0,0,AA
APPSHIW,BROOKS,TOP D'LITE REV RCBK,545,M,262,1,39.99,1,39.99,55.99,NVL
APPSHIW,BROOKS,TOP D'LITE REV RCBK,545,M,262,2,79.98,0,0,0,TC2
APPSHIW,BROOKS,TOP D'LITE REV RCBK,545,L,263,1,39.99,0,0,0,NVL
APPSHIW,BROOKS,TOP D'LITE REV RCBK,545,L,263,1,39.99,0,0,0,AAW
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,S,264,0,0,1,28.79,51.09,AA
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,S,264,1,31.99,0,0,0,NOV
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,S,264,1,31.99,1,31.99,55.99,NVL
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,S,264,2,63.98,0,0,0,WB
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,S,264,1,31.99,1,25.59,44.98,TC2
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,S,264,2,63.98,0,0,0,TC1
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,S,264,1,31.99,0,0,0,AAW
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,M,265,3,95.97,-1,-31.99,55.99,AA
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,M,265,3,95.97,0,0,0,NOV
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,M,265,2,63.98,0,0,0,NVL
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,M,265,2,63.98,1,31.99,55.99,WB
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,M,265,1,31.99,0,0,0,TC2
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,M,265,1,31.99,1,25.59,44.98,TC1
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,M,265,2,63.98,1,31.99,55.99,AAW
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,L,266,2,63.98,0,0,0,NOV
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,L,266,1,31.99,0,0,0,NVL
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,L,266,2,63.98,0,0,0,WB
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,L,266,0,0,1,25.59,44.98,TC2
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,L,266,1,31.99,0,0,0,TC1
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,L,266,2,63.98,0,0,0,AAW
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,XL,267,1,31.99,0,0,0,AA
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,XL,267,0,0,1,28.79,51.09,NVL
APPSHIW,BROOKS,TOP VRSTL EZ RZR BK,531,XL,267,1,31.99,0,0,0,AAW
EVEEVE,RUNFIT,EVENT-TC N TRAINING,,,277,-11,"-1,650.00",0,0,0,TC2
EVEEVE,RUNFIT,EVENT-TC N TRAINING,,,277,-2,-300,0,0,0,TC1
APPSHIW,YMX,TOP HENNA FLOWR TNK,GRS,S,282,-1,-58.99,0,0,0,NVL
SHOWALM,BROOKS,ADDICT-WHT VELCRO,D,8.5,289,1,89.99,0,0,0,AAW
SHOWALW,NB,WW812WT,D,7,290,1,104.99,0,0,0,NVL
MISACCACC,GARMIN,WATCHBAND 205,BLK,ONE,313,0,0,1,14.99,45.03,AA
APPSHIW,SMARTW,TOP MICROWEIGHT CREW,0,XS,318,2,129.98,0,0,0,AAW
APPSHIW,SMARTW,TOP MICROWEIGHT CREW,0,M,320,2,129.98,0,0,0,AAW
APPSHIW,SMARTW,TOP MICROWEIGHT CREW,0,L,321,1,64.99,0,0,0,NOV
APPSHIW,SMARTW,TOP MICROWEIGHT CREW,0,L,321,1,64.99,0,0,0,AAW
APPSHIW,SMARTW,TOP MICROWEIGHT CREW,0,XL,322,1,64.99,0,0,0,AAW
APPPANW,SMARTW,PANT MICROWT BOTTOM,0,L,326,0,0,1,51.99,43.74,TC2
MISACCACC,RUNFIT,MARTIAN MAGNET,,,351,30,149.7,0,0,0,AAW
MISACCACC,RUNFIT,MARTIAN MAGNET,,,352,30,149.7,0,0,0,AAW
MISACCACC,RUNFIT,MARTIAN MAGNET,,,353,28,139.72,1,4.99,49.9,AAW
MISACCACC,RUNFIT,MARTIAN MAGNET,,,354,25,124.75,2,9.98,49.9,AAW
SHOSAN,SPENCO,SANDAL KHOLO,B,6,355,1,49.99,0,0,0,AAW
SHOSAN,SPENCO,SANDAL KHOLO,B,7,356,0,0,1,49.99,64.99,AA
SHOSAN,SPENCO,SANDAL KHOLO,B,7,356,1,49.99,0,0,0,NVL
SHOSAN,SPENCO,SANDAL KHOLO,B,7,356,1,49.99,0,0,0,AAW
SHOSAN,SPENCO,SANDAL KHOLO,B,8,357,1,49.99,0,0,0,AA
SHOSAN,SPENCO,SANDAL KHOLO,B,8,357,1,49.99,0,0,0,NVL
SHOSAN,SPENCO,SANDAL KHOLO,B,8,357,0,0,1,49.99,64.99,AAW
SHOSAN,SPENCO,SANDAL KHOLO,B,9,358,1,49.99,0,0,0,AA
SHOSAN,SPENCO,SANDAL KHOLO,B,9,358,1,49.99,0,0,0,NVL
SHOSAN,SPENCO,SANDAL KHOLO,B,9,358,1,49.99,0,0,0,AAW
SHOSAN,SPENCO,SANDAL KHOLO,B,10,359,1,49.99,0,0,0,AA
SHOSAN,SPENCO,SANDAL KHOLO,B,10,359,1,49.99,0,0,0,NVL
SHOSAN,SPENCO,SANDAL KHOLO,B,10,359,1,49.99,0,0,0,AAW
SHOSAN,SPENCO,SANDAL KHOLO,B,11,360,1,49.99,0,0,0,NVL
SHOSAN,SPENCO,SANDAL KHOLO,B,11,360,1,49.99,0,0,0,AAW
APPTIGW,TRI2XU,TIGHT ELITE COMPRSN,MED,XS,374,1,139.99,0,0,0,NOV
APPSHIM,ASICS,TOP RIB TECH SS,51,M,395,-1,-34.99,1,31.49,100,NVL
MISELE,TIMEX,WATCH IRON 30 OVER,BLK/RED,FULL,399,1,54.99,0,0,0,NVL
MISELE,TIMEX,WATCH IRON 30 OVER,BLK/RED,FULL,399,2,109.98,0,0,0,WB
MISELE,TIMEX,WATCH IRON 30 OVER,BLK/RED,FULL,399,2,109.98,0,0,0,TC1
APPSUPM,CEP,CALF SLEEVE PROG+,FLA ORG,III,406,0,0,1,39.99,57.49,AA
APPSUPM,CEP,CALF SLEEVE PROG+,FLA ORG,III,406,1,39.99,0,0,0,NOV
APPSUPM,CEP,CALF SLEEVE ALLSPRT,ORG,III,406,0,0,1,35.99,52.76,NVL
APPSUPM,CEP,CALF SLEEVE PROG+,FLA ORG,III,406,2,79.98,0,0,0,NVL
APPSUPM,CEP,CALF SLEEVE PROG+,FLA ORG,III,406,2,79.98,0,0,0,WB
APPSUPM,CEP,CALF SLEEVE PROG+,FLA ORG,III,406,1,39.99,0,0,0,TC2
APPSUPM,CEP,CALF SLEEVE PROG+,FLA ORG,III,406,1,39.99,0,0,0,AAW
APPSUPM,CEP,CALF SLEEVE PROG+,FLA ORG,IV,407,1,39.99,0,0,0,AA
APPSUPM,CEP,CALF SLEEVE PROG+,FLA ORG,IV,407,1,39.99,0,0,0,NOV
APPSUPM,CEP,CALF SLEEVE PROG+,FLA ORG,IV,407,1,39.99,0,0,0,NVL
APPSUPM,CEP,CALF SLEEVE PROG+,FLA ORG,IV,407,2,79.98,0,0,0,WB
APPSUPM,CEP,CALF SLEEVE PROG+,FLA ORG,IV,407,0,0,1,39.99,57.49,TC2
APPSUPM,CEP,CALF SLEEVE PROG+,FLA ORG,IV,407,1,39.99,0,0,0,AAW
APPSUPM,CEP,CALF SLEEVE PROG+,FLA ORG,V,408,1,39.99,0,0,0,AA
APPSUPM,CEP,CALF SLEEVE PROG+,FLA ORG,V,408,1,39.99,0,0,0,NOV
APPSUPM,CEP,CALF SLEEVE PROG+,FLA ORG,V,408,1,39.99,0,0,0,TC1
APPSUPM,CEP,CALF SLEEVE PROG+,FLA ORG,V,408,1,39.99,0,0,0,AAW
APPSOCM,CEP,SOCK DYNAMIC + RUN,BLK,III,409,3,74.97,0,0,0,NOV
APPSOCM,CEP,SOCK DYNAMIC + RUN,BLK,III,409,3,74.97,0,0,0,NVL
APPSOCM,CEP,SOCK DYNAMIC + RUN,BLK,III,409,2,49.98,1,22.49,52.78,AAW
