DCS,VC,Desc1,Attr,Size,Item#,Last Sold,OHQty,OHExtP$,SoldQty,SoldExtP$,SoldM%,Str
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,5,159,5/18/2013,8,239.92,0,0,0,AA
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,5,159,5/18/2013,8,239.92,0,0,0,NOV
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,5,159,5/18/2013,4,119.96,0,0,0,NVL
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,5,159,5/18/2013,7,209.93,0,0,0,WB
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,5,159,5/18/2013,10,299.9,0,0,0,TC2
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,5,159,5/18/2013,8,239.92,0,0,0,TC1
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,5,159,5/18/2013,7,209.93,0,0,0,AAW
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,6,161,5/5/2013,5,149.95,0,0,0,AA
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,6,161,5/5/2013,6,179.94,0,0,0,NOV
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,6,161,5/5/2013,5,149.95,0,0,0,NVL
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,6,161,5/5/2013,5,149.95,0,0,0,WB
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,6,161,5/5/2013,6,179.94,0,0,0,TC2
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,6,161,5/5/2013,6,179.94,0,0,0,TC1
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,6,161,5/5/2013,5,149.95,0,0,0,AAW
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,7,162,5/11/2013,2,59.98,0,0,0,AA
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,7,162,5/11/2013,4,119.96,0,0,0,NOV
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,7,162,5/11/2013,-2,-59.98,0,0,0,NVL
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,7,162,5/11/2013,3,89.97,0,0,0,WB
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,7,162,5/11/2013,5,149.95,0,0,0,TC2
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,7,162,5/11/2013,3,89.97,0,0,0,TC1
MISACCACC,YURBUD,HEADPHONE YURBUDS,BLU/BLK,7,162,5/11/2013,2,59.98,0,0,0,AAW
MISELE,GARMIN,ANT+ STICK,BLK,ONE,164,,1,49.99,0,0,0,NOV
MISACCACC,GARMIN,HRM ELASTIC STRAP,BLK,L,165,8/22/2011,2,19.98,0,0,0,NOV
MISACCACC,GARMIN,HRM ELASTIC STRAP,BLK,L,165,8/22/2011,2,19.98,0,0,0,TC2
MISACCACC,GARMIN,HRM ELASTIC STRAP,BLK,L,165,8/22/2011,1,9.99,0,0,0,TC1
SHOWALW,NB,WW812WT,B,6,181,,1,104.99,0,0,0,NVL
APPCAPM,NIKE,CAP RF FEATHER LITE,445,ONE,188,5/13/2013,0,0,1,13.99,64.26,NOV
