DCS,VC,Desc1,Attr,Size,Item#,Last Sold,OHQty,OHExtP$,SoldQty,SoldExtP$,SoldM%,Str
APPSOCM,WRIGHT,SOCK SLC LO QUARTER,26,M,7500,4/26/2013,0,0,5,53.3,60.6,AA
APPSOCM,WRIGHT,SOCK SLC LO QUARTER,26,M,7500,4/26/2013,1,10.99,8,65.96,49.06,NVL
APPSOCM,WRIGHT,SOCK SLC LO QUARTER,26,M,7500,4/26/2013,0,0,1,10.99,61.78,WB
APPSOCM,WRIGHT,SOCK SLC LO QUARTER,26,M,7500,4/26/2013,0,0,13,137.37,60.25,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,8,7501,10/24/2012,1,109.99,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,9,7503,5/9/2013,1,109.99,1,109.99,51.47,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,9.5,7504,4/3/2013,0,0,1,98.99,48.06,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,9.5,7504,4/3/2013,1,109.99,0,0,0,NOV
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,9.5,7504,4/3/2013,1,109.99,2,198.98,49.23,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,9.5,7504,4/3/2013,1,109.99,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,10,7505,5/7/2013,1,109.99,0,0,0,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,10,7505,5/7/2013,1,109.99,0,0,0,WB
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,10,7505,5/7/2013,1,109.99,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,10.5,7506,5/11/2013,0,0,1,99.99,46.75,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,10.5,7506,5/11/2013,2,219.98,1,98.99,46.22,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,11,7507,5/8/2013,0,0,1,98.99,47.3,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,11,7507,5/8/2013,1,109.99,1,89.99,45.61,WB
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,11,7507,5/8/2013,1,109.99,1,109.99,51.5,TC2
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,11,7507,5/8/2013,1,109.99,0,0,0,TC1
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,11,7507,5/8/2013,2,219.98,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,11.5,7508,4/21/2013,1,109.99,0,0,0,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,11.5,7508,4/21/2013,1,109.99,0,0,0,NOV
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,11.5,7508,4/21/2013,0,0,1,89.99,44.38,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,11.5,7508,4/21/2013,1,109.99,1,98.99,44.99,WB
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,11.5,7508,4/21/2013,1,109.99,0,0,0,TC2
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,11.5,7508,4/21/2013,1,109.99,0,0,0,TC1
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,11.5,7508,4/21/2013,1,109.99,1,89.99,44.38,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,12,7509,4/25/2013,1,109.99,0,0,0,NOV
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,12,7509,4/25/2013,0,0,1,98.99,47.29,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,12,7509,4/25/2013,1,109.99,0,0,0,WB
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,12,7509,4/25/2013,0,0,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,12.5,7510,4/7/2013,1,109.99,0,0,0,WB
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,13,7511,2/16/2013,1,109.99,1,109.99,52.83,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,13,7511,2/16/2013,0,0,1,98.99,47.59,NOV
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,13,7511,2/16/2013,1,109.99,0,0,0,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,13,7511,2/16/2013,1,109.99,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,14,7512,12/1/2012,1,109.99,0,0,0,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,14,7512,12/1/2012,1,109.99,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,15,7513,12/2/2012,1,109.99,0,0,0,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,15,7513,12/2/2012,0,0,1,98.99,44.39,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,7,7514,9/27/2011,1,109.99,0,0,0,TC1
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,8,7516,4/27/2013,1,109.99,0,0,0,TC1
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,8,7516,4/27/2013,1,109.99,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,8.5,7517,11/20/2012,0,0,1,99.99,51.05,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,8.5,7517,11/20/2012,0,0,1,109.99,48.3,WB
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,8.5,7517,11/20/2012,0,0,1,109.99,48.3,TC1
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,8.5,7517,11/20/2012,1,109.99,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,9,7518,4/27/2013,1,109.99,0,0,0,NOV
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,9,7518,4/27/2013,1,109.99,1,109.99,53.8,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,9,7518,4/27/2013,1,109.99,0,0,0,WB
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,9,7518,4/27/2013,1,109.99,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,9.5,7519,5/9/2013,2,219.98,2,197.98,46.83,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,9.5,7519,5/9/2013,1,109.99,0,0,0,NOV
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,9.5,7519,5/9/2013,1,109.99,3,309.97,48.09,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,9.5,7519,5/9/2013,1,109.99,1,109.99,48.3,WB
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,9.5,7519,5/9/2013,0,0,2,219.98,48.3,TC1
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,9.5,7519,5/9/2013,1,109.99,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,10,7520,5/10/2013,2,219.98,0,0,0,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,10,7520,5/10/2013,2,219.98,0,0,0,NOV
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,10,7520,5/10/2013,2,219.98,0,0,0,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,10,7520,5/10/2013,1,109.99,1,109.99,53.76,TC2
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,10,7520,5/10/2013,1,109.99,1,109.99,53.76,TC1
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,10,7520,5/10/2013,1,109.99,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,10.5,7521,4/29/2013,1,109.99,2,175.98,41.93,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,10.5,7521,4/29/2013,1,109.99,1,89.99,46.22,NOV
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,10.5,7521,4/29/2013,0,0,1,89.99,46.22,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,10.5,7521,4/29/2013,1,109.99,2,219.98,51.1,TC1
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,11,7522,5/15/2013,2,219.98,0,0,0,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,11,7522,5/15/2013,1,109.99,0,0,0,NOV
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,11,7522,5/15/2013,0,0,1,109.99,51.6,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,11,7522,5/15/2013,1,109.99,0,0,0,WB
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,11,7522,5/15/2013,1,109.99,0,0,0,TC2
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,11,7522,5/15/2013,2,219.98,1,99.99,51.6,TC1
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,11,7522,5/15/2013,2,219.98,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,11.5,7523,4/19/2013,1,109.99,0,0,0,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,11.5,7523,4/19/2013,1,109.99,1,109.99,50.5,NOV
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,11.5,7523,4/19/2013,1,109.99,0,0,0,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,11.5,7523,4/19/2013,1,109.99,0,0,0,WB
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,11.5,7523,4/19/2013,2,219.98,3,288.97,47.66,TC1
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,11.5,7523,4/19/2013,1,109.99,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,12,7524,5/7/2013,1,109.99,0,0,0,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,12,7524,5/7/2013,1,109.99,0,0,0,NOV
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,12,7524,5/7/2013,1,109.99,2,189.98,44.75,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,12,7524,5/7/2013,1,109.99,0,0,0,TC2
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,12,7524,5/7/2013,0,0,3,318.97,48.53,TC1
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,12,7524,5/7/2013,0,0,1,109.99,52.67,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,12.5,7525,10/8/2012,1,109.99,0,0,0,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,12.5,7525,10/8/2012,1,109.99,1,98.99,47.77,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,13,7526,5/17/2013,1,109.99,0,0,0,NOV
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,13,7526,5/17/2013,1,109.99,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,14,7527,3/5/2013,0,0,1,98.99,43.48,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,14,7527,3/5/2013,0,0,1,89.99,45.61,TC1
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,14,7527,3/5/2013,1,109.99,1,99.99,49.66,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,B,8.5,7532,2/7/2013,-1,-109.99,0,0,0,TC1
SHOWALM,BROOKS,ADDICTION WALKER-NEW,B,9.5,7534,6/29/2012,1,109.99,0,0,0,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,B,9.5,7534,6/29/2012,0,0,1,89.99,43.56,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,B,9.5,7534,6/29/2012,1,109.99,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,B,10,7535,5/4/2013,1,109.99,0,0,0,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,B,10,7535,5/4/2013,1,109.99,0,0,0,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,B,10,7535,5/4/2013,1,109.99,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,B,10.5,7536,3/8/2013,1,109.99,0,0,0,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,B,11,7537,1/30/2013,1,109.99,0,0,0,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,B,11,7537,1/30/2013,1,109.99,0,0,0,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,B,11.5,7538,3/24/2013,1,109.99,0,0,0,WB
SHOWALM,BROOKS,ADDICTION WALKER-NEW,B,11.5,7538,3/24/2013,1,109.99,0,0,0,TC2
SHOWALM,BROOKS,ADDICTION WALKER-NEW,B,12.5,7540,2/27/2012,2,219.98,0,0,0,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,B,13,7541,10/23/2012,1,109.99,0,0,0,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,8,7546,11/14/2012,1,109.99,0,0,0,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,8,7546,11/14/2012,1,109.99,0,0,0,NOV
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,8,7546,11/14/2012,2,219.98,0,0,0,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,8,7546,11/14/2012,1,109.99,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,8.5,7547,3/25/2013,1,109.99,0,0,0,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,8.5,7547,3/25/2013,1,109.99,0,0,0,NOV
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,8.5,7547,3/25/2013,1,109.99,0,0,0,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,8.5,7547,3/25/2013,1,109.99,0,0,0,WB
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,8.5,7547,3/25/2013,1,109.99,0,0,0,TC2
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,8.5,7547,3/25/2013,2,219.98,0,0,0,TC1
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,8.5,7547,3/25/2013,1,109.99,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,9,7548,3/23/2013,2,219.98,0,0,0,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,9,7548,3/23/2013,2,219.98,0,0,0,NOV
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,9,7548,3/23/2013,2,219.98,0,0,0,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,9,7548,3/23/2013,1,109.99,0,0,0,WB
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,9,7548,3/23/2013,1,109.99,0,0,0,TC2
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,9,7548,3/23/2013,1,109.99,1,98.99,48.14,TC1
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,9,7548,3/23/2013,2,219.98,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,9.5,7549,2/6/2013,2,219.98,0,0,0,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,9.5,7549,2/6/2013,1,109.99,0,0,0,NOV
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,9.5,7549,2/6/2013,2,219.98,2,219.98,53.85,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,9.5,7549,2/6/2013,1,109.99,1,98.99,48.72,WB
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,9.5,7549,2/6/2013,2,219.98,1,89.99,45.84,TC2
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,9.5,7549,2/6/2013,2,219.98,2,219.98,53.85,TC1
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,9.5,7549,2/6/2013,2,219.98,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,10,7550,3/23/2013,1,109.99,0,0,0,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,10,7550,3/23/2013,1,109.99,0,0,0,NOV
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,10,7550,3/23/2013,1,109.99,1,89.99,45.94,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,10,7550,3/23/2013,0,0,1,99.99,51.35,WB
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,10,7550,3/23/2013,2,219.98,1,109.99,53.9,TC2
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,10,7550,3/23/2013,2,219.98,0,0,0,TC1
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,10,7550,3/23/2013,1,109.99,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,10.5,7551,4/20/2013,2,219.98,0,0,0,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,10.5,7551,4/20/2013,3,329.97,0,0,0,NOV
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,10.5,7551,4/20/2013,1,109.99,3,279.97,44.92,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,10.5,7551,4/20/2013,2,219.98,0,0,0,WB
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,10.5,7551,4/20/2013,2,219.98,1,99.99,50.08,TC2
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,10.5,7551,4/20/2013,1,109.99,1,99.99,50.08,TC1
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,10.5,7551,4/20/2013,3,329.97,2,209.98,51.32,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,11,7552,4/13/2013,3,329.97,0,0,0,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,11,7552,4/13/2013,2,219.98,1,98.99,50.23,NOV
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,11,7552,4/13/2013,3,329.97,2,177.98,44.43,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,11,7552,4/13/2013,2,219.98,0,0,0,WB
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,11,7552,4/13/2013,2,219.98,0,0,0,TC2
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,11,7552,4/13/2013,0,0,1,109.99,54.18,TC1
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,11,7552,4/13/2013,3,329.97,1,89.99,45.79,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,11.5,7553,4/4/2013,2,219.98,1,109.99,52.6,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,11.5,7553,4/4/2013,2,219.98,0,0,0,NOV
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,11.5,7553,4/4/2013,1,109.99,4,398.96,49.29,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,11.5,7553,4/4/2013,1,109.99,0,0,0,WB
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,11.5,7553,4/4/2013,1,109.99,1,109.99,53.21,TC2
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,11.5,7553,4/4/2013,2,219.98,0,0,0,TC1
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,11.5,7553,4/4/2013,1,109.99,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,12,7554,5/18/2013,2,219.98,0,0,0,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,12,7554,5/18/2013,3,329.97,0,0,0,NOV
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,12,7554,5/18/2013,3,329.97,0,0,0,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,12,7554,5/18/2013,2,219.98,1,98.99,49.28,WB
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,12,7554,5/18/2013,2,219.98,0,0,0,TC2
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,12,7554,5/18/2013,3,329.97,0,0,0,TC1
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,12,7554,5/18/2013,3,329.97,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,12.5,7555,12/3/2012,1,109.99,0,0,0,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,12.5,7555,12/3/2012,1,109.99,0,0,0,NOV
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,12.5,7555,12/3/2012,2,219.98,1,98.99,48.66,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,12.5,7555,12/3/2012,1,109.99,0,0,0,WB
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,12.5,7555,12/3/2012,1,109.99,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,13,7556,4/13/2013,1,109.99,0,0,0,NOV
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,13,7556,4/13/2013,1,109.99,3,265.97,43,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,13,7556,4/13/2013,1,109.99,0,0,0,WB
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,13,7556,4/13/2013,1,109.99,1,109.99,53.84,TC2
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,13,7556,4/13/2013,3,329.97,1,99.99,50.63,TC1
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,13,7556,4/13/2013,2,219.98,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,14,7557,9/15/2012,1,109.99,0,0,0,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,14,7557,9/15/2012,1,109.99,1,89.99,46.22,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,14,7557,9/15/2012,1,109.99,0,0,0,TC2
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,14,7557,9/15/2012,1,109.99,0,0,0,TC1
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,14,7557,9/15/2012,1,109.99,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,15,7558,3/1/2013,0,0,1,109.99,56,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,D,15,7558,3/1/2013,1,109.99,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,7,7559,,1,109.99,0,0,0,WB
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,8.5,7562,3/31/2012,1,109.99,0,0,0,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,8.5,7562,3/31/2012,1,109.99,0,0,0,NOV
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,8.5,7562,3/31/2012,1,109.99,0,0,0,TC1
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,8.5,7562,3/31/2012,1,109.99,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,9,7563,5/15/2013,0,0,1,99.99,51.27,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,9,7563,5/15/2013,1,109.99,0,0,0,NOV
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,9,7563,5/15/2013,0,0,1,98.99,49.14,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,9,7563,5/15/2013,1,109.99,0,0,0,TC2
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,9,7563,5/15/2013,1,109.99,0,0,0,TC1
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,9,7563,5/15/2013,1,109.99,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,9.5,7564,4/12/2013,0,0,1,89.99,42.55,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,9.5,7564,4/12/2013,1,109.99,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,10,7565,5/18/2013,2,219.98,0,0,0,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,10,7565,5/18/2013,2,219.98,0,0,0,WB
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,10,7565,5/18/2013,2,219.98,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,10.5,7566,11/20/2012,1,109.99,1,98.99,46.22,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,10.5,7566,11/20/2012,0,0,1,98.99,46.22,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,10.5,7566,11/20/2012,0,0,2,197.99,46.22,TC1
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,10.5,7566,11/20/2012,1,109.99,1,98.99,46.22,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,11,7567,2/28/2013,1,109.99,1,87.99,40.05,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,11,7567,2/28/2013,1,109.99,1,98.99,46.71,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,11,7567,2/28/2013,0,0,1,109.99,52.04,TC2
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,11,7567,2/28/2013,1,109.99,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,11.5,7568,4/10/2013,2,219.98,0,0,0,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,11.5,7568,4/10/2013,2,219.98,2,189.98,48.56,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,11.5,7568,4/10/2013,1,109.99,0,0,0,WB
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,11.5,7568,4/10/2013,1,109.99,0,0,0,TC1
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,11.5,7568,4/10/2013,1,109.99,1,99.99,51.14,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,12,7569,4/30/2013,0,0,2,188.98,45.34,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,12,7569,4/30/2013,0,0,1,99.99,49.94,TC1
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,12,7569,4/30/2013,1,109.99,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,13,7571,11/24/2012,2,219.98,-1,-109.99,53.06,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,13,7571,11/24/2012,1,109.99,0,0,0,NOV
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,13,7571,11/24/2012,1,109.99,0,0,0,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,13,7571,11/24/2012,1,109.99,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,14,7572,9/20/2012,0,0,1,87.99,42.24,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,2E,14,7572,9/20/2012,1,109.99,0,0,0,AAW
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,8.5,7577,8/10/2012,0,0,1,98.99,42.56,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,9,7578,11/16/2012,1,109.99,0,0,0,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,10,7580,4/28/2012,1,109.99,0,0,0,NVL
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,10.5,7581,5/15/2013,0,0,1,98.99,49.75,TC1
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,12,7584,4/29/2013,0,0,1,89.99,42.55,TC1
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,13,7586,11/15/2012,0,0,1,98.99,49.26,AA
SHOWALM,BROOKS,ADDICTION WALKER-NEW,4E,13,7586,11/15/2012,0,0,1,99.99,49.76,TC2
